アクセサ(?!(ー|リ)),アクセサー
マルチプライヤ(?!ー),マルチプライヤー
マルチプレクサ(?!ー),マルチプレクサー
マルチマスタ(?!ー),マルチマスター
マルチモニタ(?!ー),マルチモニター
マルチレイヤ(?!ー),マルチレイヤー
ミキサ(?!ー),ミキサー
ミニドライバ(?!ー),ミニドライバー
ミニフィルタ(?![ーリ]),ミニフィルター
ミューテータ(?!ー),ミューテーター
メッセンジャ(?!ー),メッセンジャー
メーカ(?!ー),メーカー
メディエイタ(?!ー),メディエイター
メンバ(?!ー),メンバー
メンバシップ(?!ー),メンバーシップ
モジュラ(?!ー),モジュラー
モディファイヤ(?!ー),モディファイヤー
モデレータ(?!ー),モデレーター
モニカ(?!ー),モニカー
モニタ(?!(ー|リング)),モニター
ユーザ(?!(ー|ビリティ)),ユーザー
ライザ(?!ー),ライザー
ライセンサ(?!ー),ライセンサー
ライタ(?!ー),ライター
ラスタ(?!(ー|イル)),ラスター
ラスタライザ(?!ー),ラスタライザー
ランチャ(?!ー),ランチャー
リアクタ(?!ー),リアクター
リクエスタ(?!ー),リクエスター
リスナ(?!ー),リスナー
リゾルバ(?!ー),リゾルバー
リダイレクタ(?!ー),リダイレクター
リパッケージャ(?!ー),リパッケージャー
リパブリッシャ(?!ー),リパブリッシャー
リファクタ(?!ー),リファクター
リフレッシャ(?!ー),リフレッシャー
リマインダ(?!ー),リマインダー
リンカ(?!ー),リンカー
レイヤ(?!ー),レイヤー
レコーダ(?!ー),レコーダー
レコグナイザ(?!ー),レコグナイザー
レシーバ(?!ー),レシーバー
レジストラ(?!ー),レジストラー
レスポンダ(?!ー),レスポンダー
レビューア(?!ー),レビューアー
レプリケータ(?!ー),レプリケーター
レベラ(?!ー),レベラー
レポータ(?!ー),レポーター
レンダ(?!(ー|ラ|リング)),レンダー
レンダラ(?!ー),レンダラー
ローカライザ(?!ー),ローカライザー
ロケータ(?!ー),ロケーター
ローダ(?!(ー|イアグラム)),ローダー
